RiskType	Bucket	Label1	Label2	Parameter
Info_SIMM_Version				2.2.8
Info_MPOR				1
Calib_IRCurve_Weight	1	2W		18
Calib_IRCurve_Weight	1	1M		15
Calib_IRCurve_Weight	1	3M		10
Calib_IRCurve_Weight	1	6M		11
Calib_IRCurve_Weight	1	1Y		13
Calib_IRCurve_Weight	1	2Y		15
Calib_IRCurve_Weight	1	3Y		16
Calib_IRCurve_Weight	1	5Y		16
Calib_IRCurve_Weight	1	10Y		16
Calib_IRCurve_Weight	1	15Y		16
Calib_IRCurve_Weight	1	20Y		16
Calib_IRCurve_Weight	1	30Y		17
Calib_IRCurve_Weight	2	2W		1.7
Calib_IRCurve_Weight	2	1M		3.4
Calib_IRCurve_Weight	2	3M		1.9
Calib_IRCurve_Weight	2	6M		1.5
Calib_IRCurve_Weight	2	1Y		2.8
Calib_IRCurve_Weight	2	2Y		4.5
Calib_IRCurve_Weight	2	3Y		4.8
Calib_IRCurve_Weight	2	5Y		6.1
Calib_IRCurve_Weight	2	10Y		6.3
Calib_IRCurve_Weight	2	15Y		6.8
Calib_IRCurve_Weight	2	20Y		7.3
Calib_IRCurve_Weight	2	30Y		7.5
Calib_IRCurve_Weight	3	2W		29
Calib_IRCurve_Weight	3	1M		35
Calib_IRCurve_Weight	3	3M		18
Calib_IRCurve_Weight	3	6M		20
Calib_IRCurve_Weight	3	1Y		21
Calib_IRCurve_Weight	3	2Y		23
Calib_IRCurve_Weight	3	3Y		33
Calib_IRCurve_Weight	3	5Y		32
Calib_IRCurve_Weight	3	10Y		31
Calib_IRCurve_Weight	3	15Y		26
Calib_IRCurve_Weight	3	20Y		27
Calib_IRCurve_Weight	3	30Y		26
Calib_Inflation_Weight				14
Calib_XCcyBasis_Weight				5.4
Calib_IRVol_Weight				0.042
Calib_IRVol_HVR				0.53
Calib_IRCurve_Corr		2W	1M	0.73
Calib_IRCurve_Corr		2W	3M	0.64
Calib_IRCurve_Corr		2W	6M	0.57
Calib_IRCurve_Corr		2W	1Y	0.44
Calib_IRCurve_Corr		2W	2Y	0.34
Calib_IRCurve_Corr		2W	3Y	0.29
Calib_IRCurve_Corr		2W	5Y	0.24
Calib_IRCurve_Corr		2W	10Y	0.18
Calib_IRCurve_Corr		2W	15Y	0.13
Calib_IRCurve_Corr		2W	20Y	0.11
Calib_IRCurve_Corr		2W	30Y	0.09
Calib_IRCurve_Corr		1M	2W	0.73
Calib_IRCurve_Corr		1M	3M	0.78
Calib_IRCurve_Corr		1M	6M	0.67
Calib_IRCurve_Corr		1M	1Y	0.5
Calib_IRCurve_Corr		1M	2Y	0.37
Calib_IRCurve_Corr		1M	3Y	0.3
Calib_IRCurve_Corr		1M	5Y	0.24
Calib_IRCurve_Corr		1M	10Y	0.18
Calib_IRCurve_Corr		1M	15Y	0.13
Calib_IRCurve_Corr		1M	20Y	0.11
Calib_IRCurve_Corr		1M	30Y	0.1
Calib_IRCurve_Corr		3M	2W	0.64
Calib_IRCurve_Corr		3M	1M	0.78
Calib_IRCurve_Corr		3M	6M	0.85
Calib_IRCurve_Corr		3M	1Y	0.66
Calib_IRCurve_Corr		3M	2Y	0.52
Calib_IRCurve_Corr		3M	3Y	0.43
Calib_IRCurve_Corr		3M	5Y	0.35
Calib_IRCurve_Corr		3M	10Y	0.27
Calib_IRCurve_Corr		3M	15Y	0.2
Calib_IRCurve_Corr		3M	20Y	0.17
Calib_IRCurve_Corr		3M	30Y	0.17
Calib_IRCurve_Corr		6M	2W	0.57
Calib_IRCurve_Corr		6M	1M	0.67
Calib_IRCurve_Corr		6M	3M	0.85
Calib_IRCurve_Corr		6M	1Y	0.81
Calib_IRCurve_Corr		6M	2Y	0.68
Calib_IRCurve_Corr		6M	3Y	0.59
Calib_IRCurve_Corr		6M	5Y	0.5
Calib_IRCurve_Corr		6M	10Y	0.41
Calib_IRCurve_Corr		6M	15Y	0.35
Calib_IRCurve_Corr		6M	20Y	0.33
Calib_IRCurve_Corr		6M	30Y	0.31
Calib_IRCurve_Corr		1Y	2W	0.44
Calib_IRCurve_Corr		1Y	1M	0.5
Calib_IRCurve_Corr		1Y	3M	0.66
Calib_IRCurve_Corr		1Y	6M	0.81
Calib_IRCurve_Corr		1Y	2Y	0.94
Calib_IRCurve_Corr		1Y	3Y	0.85
Calib_IRCurve_Corr		1Y	5Y	0.76
Calib_IRCurve_Corr		1Y	10Y	0.65
Calib_IRCurve_Corr		1Y	15Y	0.59
Calib_IRCurve_Corr		1Y	20Y	0.56
